user_id,gender,age_group,occupation
359,M,25-34,technician_engineer
360,M,35-44,technician_engineer
361,F,25-34,sales_marketing
362,M,35-44,writer
363,M,18-24,k12_student
364,F,35-44,academic_educator
365,F,18-24,college_grad_student
366,M,50-55,scientist
367,M,50-55,programmer
368,M,25-34,other
369,M,35-44,academic_educator
370,M,18-24,technician_engineer
371,M,18-24,college_grad_student
372,F,18-24,college_grad_student
373,F,25-34,artist
374,F,35-44,sales_marketing
375,M,25-34,artist
376,M,35-44,academic_educator
377,M,25-34,technician_engineer
378,F,18-24,other
379,F,35-44,academic_educator
380,M,25-34,artist
381,M,35-44,technician_engineer
382,F,35-44,writer
383,F,25-34,executive_managerial
384,M,25-34,lawyer
385,M,25-34,doctor_health_care
386,M,25-34,other
387,F,35-44,executive_managerial
388,F,25-34,other
389,M,25-34,doctor_health_care
390,M,25-34,college_grad_student
391,M,45-49,lawyer
392,M,18-24,executive_managerial
393,M,35-44,technician_engineer
394,M,18-24,other
395,M,18-24,customer_service
396,M,25-34,academic_educator
397,M,35-44,technician_engineer
398,M,25-34,technician_engineer
399,F,35-44,doctor_health_care
400,F,18-24,clerical_admin
401,M,18-24,other
402,M,25-34,lawyer
403,M,18-24,college_grad_student
404,M,18-24,college_grad_student
405,M,56+,academic_educator
406,M,25-34,writer
407,M,18-24,technician_engineer
408,M,25-34,lawyer
409,M,18-24,programmer
410,F,25-34,academic_educator
411,F,45-49,academic_educator
412,M,35-44,scientist
413,M,25-34,lawyer
414,M,25-34,other
415,F,35-44,other
416,M,45-49,sales_marketing
417,F,25-34,other
418,F,25-34,clerical_admin
419,M,18-24,clerical_admin
420,M,35-44,academic_educator
421,F,45-49,clerical_admin
422,M,56+,technician_engineer
423,M,18-24,college_grad_student
424,M,25-34,technician_engineer
425,M,25-34,programmer
426,M,18-24,college_grad_student
427,M,35-44,programmer
428,F,18-24,college_grad_student
429,M,18-24,other
430,F,18-24,k12_student
431,M,18-24,k12_student
432,M,45-49,self_employed
433,M,50-55,doctor_health_care
434,F,45-49,clerical_admin
435,M,25-34,executive_managerial
436,M,18-24,college_grad_student
437,M,35-44,technician_engineer
438,M,18-24,lawyer
439,M,35-44,sales_marketing
440,M,56+,academic_educator
441,M,35-44,academic_educator
442,M,25-34,academic_educator
443,M,25-34,clerical_admin
444,M,56+,other
445,M,45-49,programmer
446,F,50-55,other
447,F,45-49,lawyer
448,M,25-34,technician_engineer
449,M,25-34,executive_managerial
450,M,45-49,academic_educator
451,M,56+,retired
452,M,50-55,technician_engineer
453,M,18-24,college_grad_student
454,M,25-34,writer
455,F,35-44,artist
456,M,35-44,other
457,M,18-24,college_grad_student
458,M,50-55,self_employed
459,F,18-24,college_grad_student
460,M,45-49,tradesman_craftsman
461,M,50-55,executive_managerial
462,M,18-24,self_employed
463,M,25-34,executive_managerial
464,F,18-24,college_grad_student
465,M,18-24,unemployed
466,M,25-34,customer_service
467,F,35-44,clerical_admin
468,F,under_18,k12_student
469,M,35-44,doctor_health_care
470,F,under_18,k12_student
471,M,35-44,executive_managerial
472,M,35-44,other
473,F,18-24,college_grad_student
474,M,25-34,technician_engineer
475,F,25-34,artist
476,M,35-44,other
477,M,35-44,sales_marketing
478,M,50-55,self_employed
479,M,25-34,programmer
480,F,18-24,college_grad_student
481,M,45-49,executive_managerial
482,M,25-34,sales_marketing
483,M,18-24,programmer
484,F,under_18,k12_student
485,M,56+,executive_managerial
486,M,56+,other
487,F,35-44,technician_engineer
488,M,25-34,programmer
489,M,18-24,college_grad_student
490,M,under_18,k12_student
491,M,18-24,college_grad_student
492,M,25-34,programmer
493,M,50-55,executive_managerial
494,F,35-44,other
495,M,18-24,k12_student
496,M,18-24,college_grad_student
497,F,25-34,technician_engineer
498,M,35-44,technician_engineer
499,F,25-34,academic_educator
500,F,18-24,artist
501,M,25-34,artist
502,M,35-44,doctor_health_care
503,M,35-44,lawyer
504,M,25-34,artist
505,M,35-44,technician_engineer
506,M,25-34,self_employed
507,F,25-34,other
508,M,25-34,programmer
509,M,25-34,artist
510,M,18-24,programmer
511,F,45-49,college_grad_student
512,M,35-44,other
513,M,25-34,other
514,M,25-34,artist
515,M,25-34,academic_educator
516,F,56+,sales_marketing
517,F,25-34,sales_marketing
518,F,35-44,programmer
519,F,35-44,sales_marketing
520,F,35-44,writer
521,M,56+,executive_managerial
522,M,25-34,programmer
523,M,50-55,executive_managerial
524,M,18-24,other
525,M,35-44,doctor_health_care
526,M,45-49,technician_engineer
527,F,25-34,artist
528,F,18-24,technician_engineer
529,M,35-44,programmer
530,M,25-34,artist
531,F,18-24,sales_marketing
532,M,25-34,executive_managerial
533,M,25-34,programmer
534,M,25-34,scientist
535,M,35-44,doctor_health_care
536,M,25-34,writer
537,M,45-49,sales_marketing
538,M,56+,self_employed
539,M,25-34,artist
540,M,18-24,academic_educator
541,F,18-24,college_grad_student
542,M,18-24,college_grad_student
543,M,25-34,customer_service
544,M,35-44,programmer
545,M,35-44,technician_engineer
546,F,25-34,other
547,M,35-44,programmer
548,F,35-44,self_employed
549,M,25-34,doctor_health_care
550,M,45-49,farmer
551,M,35-44,writer
552,M,50-55,tradesman_craftsman
553,M,25-34,artist
554,M,25-34,programmer
555,M,18-24,college_grad_student
556,F,25-34,homemaker
557,M,56+,academic_educator
558,M,35-44,writer
559,F,25-34,executive_managerial
560,M,45-49,scientist
561,F,18-24,sales_marketing
562,M,35-44,writer
563,M,25-34,college_grad_student
564,M,45-49,academic_educator
565,M,25-34,self_employed
566,M,25-34,technician_engineer
567,M,35-44,writer
568,F,50-55,technician_engineer
569,F,18-24,college_grad_student
570,M,25-34,college_grad_student
571,M,50-55,customer_service
572,M,18-24,college_grad_student
573,F,35-44,artist
574,M,25-34,unemployed
575,M,25-34,programmer
576,F,45-49,scientist
577,M,35-44,other
578,M,18-24,technician_engineer
579,M,25-34,customer_service
580,M,under_18,k12_student
581,M,50-55,sales_marketing
582,M,18-24,college_grad_student
583,F,25-34,other
584,F,25-34,other
585,M,18-24,academic_educator
586,M,35-44,sales_marketing
587,M,25-34,writer
588,F,25-34,lawyer
589,M,18-24,artist
590,F,35-44,doctor_health_care
591,M,25-34,other
592,M,18-24,other
593,F,50-55,academic_educator
594,F,56+,retired
595,M,25-34,executive_managerial
596,F,25-34,academic_educator
597,M,35-44,programmer
598,M,35-44,executive_managerial
599,M,50-55,doctor_health_care
600,M,35-44,technician_engineer
601,F,18-24,writer
602,F,56+,doctor_health_care
603,F,25-34,doctor_health_care
604,M,45-49,technician_engineer
605,F,18-24,college_grad_student
606,F,under_18,k12_student
607,M,25-34,other
608,M,18-24,college_grad_student
609,M,25-34,executive_managerial
610,M,25-34,college_grad_student
611,M,35-44,other
612,M,50-55,executive_managerial
613,M,35-44,writer
614,M,35-44,academic_educator
615,M,50-55,technician_engineer
616,M,25-34,executive_managerial
617,F,25-34,executive_managerial
618,M,25-34,other
619,F,18-24,academic_educator
620,M,18-24,other
621,M,18-24,college_grad_student
622,M,25-34,other
623,M,25-34,technician_engineer
624,M,25-34,academic_educator
625,F,35-44,programmer
626,M,18-24,college_grad_student
627,M,50-55,artist
628,F,35-44,other
629,F,under_18,k12_student
630,F,35-44,sales_marketing
631,M,35-44,technician_engineer
632,M,45-49,technician_engineer
633,M,25-34,technician_engineer
634,F,under_18,k12_student
635,M,56+,technician_engineer
636,M,18-24,writer
637,M,35-44,programmer
638,M,25-34,doctor_health_care
639,M,45-49,technician_engineer
640,M,18-24,college_grad_student
641,F,35-44,other
642,F,35-44,academic_educator
643,M,25-34,artist
644,M,25-34,writer
645,M,35-44,writer
646,M,35-44,executive_managerial
647,M,35-44,programmer
648,F,25-34,programmer
649,M,25-34,college_grad_student
650,M,25-34,technician_engineer
651,M,35-44,executive_managerial
652,M,18-24,writer
653,M,56+,retired
654,M,50-55,executive_managerial
655,F,25-34,artist
656,F,45-49,self_employed
657,F,50-55,retired
658,F,25-34,other
659,F,25-34,other
660,M,45-49,self_employed
661,M,45-49,academic_educator
662,M,18-24,college_grad_student
663,F,25-34,executive_managerial
664,M,35-44,tradesman_craftsman
665,M,18-24,artist
666,F,18-24,other
667,M,25-34,tradesman_craftsman
668,F,25-34,clerical_admin
669,M,25-34,technician_engineer
670,M,25-34,programmer
671,M,18-24,college_grad_student
672,M,35-44,executive_managerial
673,M,25-34,writer
674,M,25-34,technician_engineer
675,M,25-34,writer
676,M,18-24,self_employed
677,M,50-55,artist
678,M,25-34,other
679,M,35-44,self_employed
680,M,25-34,programmer
681,M,35-44,executive_managerial
682,M,25-34,college_grad_student
683,M,25-34,college_grad_student
684,M,25-34,college_grad_student
685,M,25-34,college_grad_student
686,M,18-24,college_grad_student
687,F,25-34,executive_managerial
688,M,56+,retired
689,F,50-55,other
690,M,25-34,programmer
691,M,35-44,lawyer
692,F,25-34,other
693,M,35-44,programmer
694,M,18-24,college_grad_student
695,F,18-24,academic_educator
696,M,25-34,programmer
697,F,50-55,doctor_health_care
698,M,18-24,college_grad_student
699,M,18-24,other
700,M,50-55,technician_engineer
701,F,18-24,college_grad_student
702,M,35-44,executive_managerial
703,F,56+,academic_educator
704,F,35-44,farmer
705,M,25-34,college_grad_student
706,M,35-44,writer
707,M,35-44,executive_managerial
708,M,25-34,other
709,M,18-24,other
710,M,25-34,writer
711,M,25-34,tradesman_craftsman
712,M,25-34,other
713,M,35-44,executive_managerial
714,M,18-24,college_grad_student
715,M,18-24,other
716,M,18-24,college_grad_student
717,M,25-34,lawyer
718,M,18-24,artist
719,M,under_18,other
720,M,18-24,other
721,F,35-44,homemaker
722,M,25-34,programmer
723,M,25-34,programmer
724,M,50-55,retired
725,M,56+,lawyer
726,F,25-34,homemaker
727,M,35-44,lawyer
728,M,25-34,doctor_health_care
729,M,35-44,programmer
730,M,25-34,other
731,M,45-49,clerical_admin
732,M,25-34,executive_managerial
733,M,35-44,self_employed
734,M,25-34,executive_managerial
735,M,25-34,sales_marketing
736,M,18-24,programmer
737,M,under_18,unemployed
738,M,18-24,technician_engineer
739,M,35-44,programmer
740,M,25-34,sales_marketing
741,M,25-34,customer_service
742,M,18-24,other
743,F,under_18,artist
744,M,25-34,technician_engineer
745,M,under_18,k12_student
746,F,18-24,unemployed
747,M,18-24,college_grad_student
748,M,25-34,other
749,M,35-44,tradesman_craftsman
750,F,35-44,homemaker
751,F,25-34,technician_engineer
752,F,25-34,clerical_admin
753,M,under_18,k12_student
754,M,35-44,executive_managerial
755,F,35-44,other
756,M,35-44,other
757,M,25-34,programmer
758,M,35-44,executive_managerial
759,F,56+,clerical_admin
760,M,56+,scientist
761,M,18-24,executive_managerial
762,M,under_18,k12_student
763,M,18-24,k12_student
764,M,18-24,writer
765,M,25-34,technician_engineer
766,F,25-34,executive_managerial
767,M,25-34,programmer
768,M,25-34,programmer
769,M,45-49,technician_engineer
770,M,18-24,college_grad_student
771,F,50-55,academic_educator
772,M,18-24,programmer
773,M,25-34,doctor_health_care
774,M,18-24,college_grad_student
775,M,under_18,technician_engineer
776,F,25-34,clerical_admin
777,M,18-24,unemployed
778,M,18-24,technician_engineer
779,M,25-34,other
780,M,25-34,technician_engineer
781,M,18-24,college_grad_student
782,M,56+,academic_educator
783,M,25-34,college_grad_student
784,M,18-24,other
785,M,18-24,unemployed
786,M,25-34,other
787,M,18-24,college_grad_student
788,M,25-34,other
789,M,18-24,academic_educator
790,M,25-34,technician_engineer
791,M,35-44,executive_managerial
792,M,25-34,technician_engineer
793,F,35-44,sales_marketing
794,M,50-55,writer
795,F,35-44,sales_marketing
796,M,50-55,doctor_health_care
797,F,50-55,executive_managerial
798,F,25-34,writer
799,F,25-34,customer_service
800,F,35-44,programmer
801,F,25-34,writer
802,M,25-34,self_employed
803,M,18-24,college_grad_student
804,M,25-34,writer
805,M,35-44,programmer
806,M,35-44,other
807,M,18-24,college_grad_student
808,M,25-34,executive_managerial
809,M,25-34,technician_engineer
810,M,25-34,programmer
811,M,50-55,other
812,M,25-34,doctor_health_care
813,M,18-24,college_grad_student
814,F,18-24,college_grad_student
815,M,25-34,college_grad_student
816,M,45-49,other
817,M,18-24,college_grad_student
818,M,18-24,college_grad_student
819,M,35-44,executive_managerial
820,M,35-44,executive_managerial
821,M,18-24,artist
822,F,25-34,academic_educator
823,M,25-34,other
824,M,35-44,programmer
825,M,56+,academic_educator
826,F,35-44,academic_educator
827,M,45-49,artist
828,M,18-24,college_grad_student
829,M,under_18,unemployed
830,M,35-44,executive_managerial
831,F,45-49,other
832,M,18-24,artist
833,M,35-44,executive_managerial
834,F,35-44,programmer
835,M,56+,other
836,M,25-34,lawyer
837,M,56+,executive_managerial
838,M,50-55,technician_engineer
839,M,25-34,other
840,F,25-34,clerical_admin
841,F,50-55,sales_marketing
842,F,18-24,other
843,M,25-34,executive_managerial
844,M,25-34,other
845,F,18-24,other
846,M,25-34,customer_service
847,F,25-34,executive_managerial
848,M,25-34,scientist
849,M,25-34,clerical_admin
850,M,35-44,other
851,M,18-24,college_grad_student
852,M,25-34,customer_service
853,M,25-34,technician_engineer
854,F,25-34,self_employed
855,F,18-24,artist
856,F,45-49,doctor_health_care
857,M,35-44,technician_engineer
858,M,35-44,sales_marketing
859,M,25-34,programmer
860,M,18-24,other
861,M,25-34,executive_managerial
862,M,35-44,executive_managerial
863,M,25-34,executive_managerial
864,F,25-34,other
865,M,35-44,academic_educator
866,M,under_18,k12_student
867,M,45-49,programmer
868,M,50-55,technician_engineer
869,M,18-24,writer
870,F,25-34,academic_educator
871,M,under_18,k12_student
872,M,50-55,academic_educator
873,M,56+,doctor_health_care
874,M,45-49,scientist
875,M,under_18,k12_student
876,M,25-34,college_grad_student
877,M,25-34,other
878,M,18-24,artist
879,M,45-49,self_employed
880,M,35-44,technician_engineer
881,M,18-24,sales_marketing
882,M,18-24,artist
883,F,35-44,sales_marketing
884,M,under_18,k12_student
885,M,35-44,other
886,F,56+,other
887,F,56+,self_employed
888,F,under_18,k12_student
889,M,45-49,writer
890,M,18-24,college_grad_student
891,M,25-34,academic_educator
892,M,35-44,other
893,F,50-55,doctor_health_care
894,M,18-24,college_grad_student
895,M,50-55,academic_educator
896,M,18-24,scientist
897,M,25-34,doctor_health_care
898,M,25-34,executive_managerial
899,F,25-34,academic_educator
900,F,56+,retired
901,F,56+,other
902,M,56+,other
903,M,56+,retired
904,M,35-44,writer
905,F,45-49,programmer
906,M,under_18,k12_student
907,F,45-49,doctor_health_care
908,F,50-55,academic_educator
909,M,45-49,executive_managerial
910,F,50-55,other
911,M,50-55,other
912,F,35-44,artist
913,M,25-34,other
914,F,35-44,homemaker
915,M,25-34,executive_managerial
916,F,25-34,academic_educator
917,M,50-55,doctor_health_care
918,F,45-49,academic_educator
919,F,35-44,academic_educator
920,M,18-24,college_grad_student
921,M,25-34,technician_engineer
922,M,56+,self_employed
923,M,25-34,executive_managerial
924,M,50-55,technician_engineer
925,F,35-44,clerical_admin
926,M,under_18,k12_student
927,F,25-34,writer
928,F,56+,self_employed
929,M,25-34,scientist
930,M,25-34,customer_service
931,F,56+,academic_educator
932,F,35-44,doctor_health_care
933,M,45-49,academic_educator
934,F,35-44,executive_managerial
935,M,35-44,sales_marketing
936,M,18-24,college_grad_student
937,M,25-34,scientist
938,F,25-34,academic_educator
939,F,25-34,writer
940,M,under_18,k12_student
941,M,18-24,writer
942,F,50-55,doctor_health_care
943,F,45-49,programmer
944,M,35-44,other
945,M,45-49,executive_managerial
946,M,35-44,executive_managerial
947,M,18-24,other
948,M,56+,programmer
949,M,50-55,technician_engineer
950,M,35-44,executive_managerial
951,M,45-49,artist
952,M,56+,self_employed
953,M,50-55,writer
954,F,25-34,other
955,F,50-55,executive_managerial
956,M,35-44,academic_educator
957,M,35-44,academic_educator
958,M,35-44,artist
959,M,50-55,lawyer
960,M,under_18,k12_student
961,M,18-24,k12_student
962,F,25-34,academic_educator
963,M,25-34,other
964,M,25-34,executive_managerial
965,M,56+,executive_managerial
966,M,56+,artist
967,F,18-24,other
968,M,50-55,programmer
969,F,25-34,lawyer
970,M,25-34,other
971,M,25-34,programmer
972,M,45-49,academic_educator
973,F,25-34,academic_educator
974,M,35-44,unemployed
975,M,35-44,other
976,M,35-44,sales_marketing
977,M,25-34,artist
978,M,18-24,other
979,M,under_18,k12_student
980,M,25-34,doctor_health_care
981,M,25-34,writer
982,F,25-34,homemaker
983,F,25-34,self_employed
984,M,50-55,self_employed
985,M,25-34,college_grad_student
986,F,56+,other
987,F,35-44,technician_engineer
988,M,50-55,lawyer
989,M,50-55,other
990,M,18-24,doctor_health_care
991,F,25-34,homemaker
992,F,35-44,clerical_admin
993,M,25-34,other
994,M,18-24,artist
995,F,18-24,college_grad_student
996,M,25-34,technician_engineer
997,M,under_18,unemployed
998,M,45-49,writer
999,M,25-34,scientist
1000,F,25-34,doctor_health_care
1001,M,25-34,college_grad_student
1002,M,50-55,lawyer
1003,M,25-34,artist
1004,M,25-34,clerical_admin
1005,M,35-44,lawyer
1006,M,18-24,college_grad_student
1007,M,50-55,programmer
1008,M,35-44,clerical_admin
1009,M,50-55,executive_managerial
1010,M,25-34,other
1011,M,25-34,farmer
1012,F,35-44,academic_educator
1013,M,56+,retired
1014,F,45-49,technician_engineer
1015,M,35-44,clerical_admin
1016,M,56+,self_employed
1017,M,35-44,other
1018,M,18-24,college_grad_student
1019,M,35-44,academic_educator
1020,M,18-24,writer
1021,M,35-44,other
1022,M,25-34,clerical_admin
1023,M,56+,retired
1024,F,35-44,academic_educator
1025,M,25-34,self_employed
1026,F,45-49,other
1027,M,18-24,college_grad_student
1028,F,45-49,executive_managerial
1029,M,25-34,other
1030,M,25-34,executive_managerial
1031,M,35-44,self_employed
1032,M,50-55,self_employed
1033,M,25-34,customer_service
1034,F,35-44,academic_educator
1035,M,18-24,artist
1036,M,35-44,executive_managerial
1037,M,45-49,executive_managerial
1038,F,56+,scientist
1039,F,35-44,academic_educator
1040,M,25-34,lawyer
1041,M,45-49,artist
1042,M,35-44,customer_service
1043,F,50-55,lawyer
1044,M,25-34,writer
1045,F,under_18,k12_student
1046,M,56+,tradesman_craftsman
1047,M,18-24,other
1048,M,35-44,doctor_health_care
1049,M,45-49,sales_marketing
1050,M,25-34,academic_educator
1051,F,25-34,other
1052,F,35-44,artist
